Key,Product ID
14000,FUR-ADV-10000002
14001,FUR-ADV-10000108
14002,FUR-ADV-10000183
14003,FUR-ADV-10000188
14004,FUR-ADV-10000190
14005,FUR-ADV-10000571
14006,FUR-ADV-10000600
14007,FUR-ADV-10000847
14008,FUR-ADV-10001283
14009,FUR-ADV-10001440
14010,FUR-ADV-10001659
14011,FUR-ADV-10001855
14012,FUR-ADV-10002329
14013,FUR-ADV-10002601
14014,FUR-ADV-10002632
14015,FUR-ADV-10002889
14016,FUR-ADV-10003147
14017,FUR-ADV-10003326
14018,FUR-ADV-10004159
14019,FUR-ADV-10004223
14020,FUR-ADV-10004395
14021,FUR-ADV-10004499
14022,FUR-ADV-10004718
14023,FUR-ADV-10004971
14024,FUR-BAR-10000560
14025,FUR-BAR-10000831
14026,FUR-BAR-10000946
14027,FUR-BAR-10001039
14028,FUR-BAR-10002449
14029,FUR-BAR-10002710
14030,FUR-BAR-10003465
14031,FUR-BAR-10003532
14032,FUR-BAR-10003576
14033,FUR-BAR-10004434
14034,FUR-BAR-10004553
14035,FUR-BAR-10004561
14036,FUR-BAR-10004682
14037,FUR-BEV-10000326
14038,FUR-BEV-10000388
14039,FUR-BEV-10001048
14040,FUR-BEV-10001217
14041,FUR-BEV-10001853
14042,FUR-BEV-10002193
14043,FUR-BEV-10002369
14044,FUR-BEV-10002803
14045,FUR-BEV-10003414
14046,FUR-BEV-10004805
14047,FUR-BEV-10004919
14048,FUR-BO-10000002
14049,FUR-BO-10000008
14050,FUR-BO-10000021
14051,FUR-BO-10000022
14052,FUR-BO-10000034
14053,FUR-BO-10000035
14054,FUR-BO-10000038
14055,FUR-BO-10000071
14056,FUR-BO-10000087
14057,FUR-BO-10000112
14058,FUR-BO-10000120
14059,FUR-BO-10000148
14060,FUR-BO-10000155
14061,FUR-BO-10000160
14062,FUR-BO-10000170
14063,FUR-BO-10000175
14064,FUR-BO-10000184
14065,FUR-BO-10000195
14066,FUR-BO-10000203
14067,FUR-BO-10000208
14068,FUR-BO-10000210
14069,FUR-BO-10000214
14070,FUR-BO-10000243
14071,FUR-BO-10000259
14072,FUR-BO-10000265
14073,FUR-BO-10000268
14074,FUR-BO-10000269
14075,FUR-BO-10000279
14076,FUR-BO-10000288
14077,FUR-BO-10000311
14078,FUR-BO-10000321
14079,FUR-BO-10000330
14080,FUR-BO-10000362
14081,FUR-BO-10000378
14082,FUR-BO-10000402
14083,FUR-BO-10000411
14084,FUR-BO-10000425
14085,FUR-BO-10000468
14086,FUR-BO-10000490
14087,FUR-BO-10000502
14088,FUR-BO-10000514
14089,FUR-BO-10000517
14090,FUR-BO-10000533
14091,FUR-BO-10000567
14092,FUR-BO-10000596
14093,FUR-BO-10000610
14094,FUR-BO-10000616
14095,FUR-BO-10000623
14096,FUR-BO-10000624
14097,FUR-BO-10000636
14098,FUR-BO-10000655
14099,FUR-BO-10000666
14100,FUR-BO-10000668
14101,FUR-BO-10000670
14102,FUR-BO-10000676
14103,FUR-BO-10000684
14104,FUR-BO-10000699
14105,FUR-BO-10000700
14106,FUR-BO-10000711
14107,FUR-BO-10000712
14108,FUR-BO-10000728
14109,FUR-BO-10000734
14110,FUR-BO-10000746
14111,FUR-BO-10000780
14112,FUR-BO-10000786
14113,FUR-BO-10000791
14114,FUR-BO-10000797
14115,FUR-BO-10000807
14116,FUR-BO-10000820
14117,FUR-BO-10000847
14118,FUR-BO-10000883
14119,FUR-BO-10000889
14120,FUR-BO-10000891
14121,FUR-BO-10000892
14122,FUR-BO-10000895
14123,FUR-BO-10000936
14124,FUR-BO-10000961
14125,FUR-BO-10000967
14126,FUR-BO-10000980
14127,FUR-BO-10001003
14128,FUR-BO-10001010
