Key,Customer ID
6000,AA-10315
6001,AA-10375
6002,AA-10480
6003,AA-10645
6004,AA-315
6005,AA-375
6006,AA-480
6007,AA-645
6008,AB-10015
6009,AB-10060
6010,AB-10105
6011,AB-10150
6012,AB-10165
6013,AB-10255
6014,AB-105
6015,AB-10600
6016,AB-15
6017,AB-150
6018,AB-165
6019,AB-255
6020,AB-60
6021,AB-600
6022,AC-10420
6023,AC-10450
6024,AC-10615
6025,AC-10660
6026,AC-420
6027,AC-450
6028,AC-615
6029,AC-660
6030,AD-10180
6031,AD-180
6032,AF-10870
6033,AF-10885
6034,AF-870
6035,AF-885
6036,AG-10270
6037,AG-10300
6038,AG-10330
6039,AG-10390
6040,AG-10495
6041,AG-10525
6042,AG-10675
6043,AG-10765
6044,AG-10900
6045,AG-270
6046,AG-300
6047,AG-330
6048,AG-390
6049,AG-495
6050,AG-525
6051,AG-675
6052,AG-765
6053,AG-900
6054,AH-10030
6055,AH-10075
6056,AH-10120
6057,AH-10195
6058,AH-10210
6059,AH-10465
6060,AH-10585
6061,AH-10690
6062,AH-120
6063,AH-195
6064,AH-210
6065,AH-30
6066,AH-465
6067,AH-585
6068,AH-690
6069,AH-75
6070,AI-10855
6071,AI-855
6072,AJ-10780
6073,AJ-10795
6074,AJ-10945
6075,AJ-10960
6076,AJ-780
6077,AJ-795
6078,AJ-945
6079,AJ-960
6080,AM-10360
6081,AM-10705
6082,AM-360
6083,AM-705
6084,AO-10810
6085,AO-810
6086,AP-10720
6087,AP-10915
6088,AP-720
6089,AP-915
6090,AR-10345
6091,AR-10405
6092,AR-10510
6093,AR-10540
6094,AR-10570
6095,AR-10825
6096,AR-345
6097,AR-405
6098,AR-510
6099,AR-540
6100,AR-570
6101,AR-825
6102,AS-10045
6103,AS-10090
6104,AS-10135
6105,AS-10225
6106,AS-10240
6107,AS-10285
6108,AS-10630
6109,AS-135
6110,AS-225
6111,AS-240
6112,AS-285
6113,AS-45
6114,AS-630
6115,AS-90
6116,AT-10435
6117,AT-10735
6118,AT-435
6119,AT-735
6120,AW-10840
6121,AW-10930
6122,AW-840
6123,AW-930
6124,AY-10555
6125,AY-555
6126,AZ-10750
6127,AZ-750
6128,BB-10990
6129,BB-11545
6130,BB-1545
6131,BB-990
6132,BC-11125
6133,BC-1125
6134,BD-11320
6135,BD-11500
6136,BD-11560
6137,BD-11605
6138,BD-11620
6139,BD-11635
6140,BD-11725
6141,BD-11770
6142,BD-1320
6143,BD-1500
6144,BD-1560
6145,BD-1605
6146,BD-1620
6147,BD-1635
6148,BD-1725
6149,BD-1770
6150,BE-11335
6151,BE-11410
6152,BE-11455
6153,BE-1335
6154,BE-1410
6155,BE-1455
6156,BF-1005
6157,BF-1020
6158,BF-1080
6159,BF-10975
6160,BF-11005
6161,BF-11020
6162,BF-11080
6163,BF-11170
6164,BF-11215
6165,BF-11275
6166,BF-1170
6167,BF-1215
6168,BF-1275
6169,BF-975
6170,BG-1035
6171,BG-11035
6172,BG-11695
6173,BG-11740
6174,BG-1695
6175,BG-1740
6176,BH-11710
6177,BH-1710
6178,BK-11260
6179,BK-1260
6180,BM-11140
6181,BM-1140
6182,BM-11575
6183,BM-11650
6184,BM-11785
6185,BM-1575
6186,BM-1650
6187,BM-1785
6188,BN-11470
6189,BN-11515
6190,BN-1470
6191,BN-1515
6192,BO-11350
6193,BO-11425
6194,BO-1350
6195,BO-1425
6196,BP-1050
6197,BP-1095
6198,BP-11050
6199,BP-11095
6200,BP-11155
6201,BP-11185
6202,BP-11230
6203,BP-11290
6204,BP-1155
6205,BP-1185
6206,BP-1230
6207,BP-1290
6208,BS-11365
6209,BS-11380
6210,BS-11590
6211,BS-11665
6212,BS-11755
6213,BS-11800
6214,BS-1365
6215,BS-1380
6216,BS-1590
6217,BS-1665
6218,BS-1755
6219,BS-1800
6220,BT-11305
6221,BT-11395
6222,BT-11440
6223,BT-11485
6224,BT-11530
6225,BT-11680
6226,BT-1305
6227,BT-1395
6228,BT-1440
6229,BT-1485
6230,BT-1530
6231,BT-1680
6232,BV-11245
6233,BV-1245
6234,BW-1065
6235,BW-11065
6236,BW-1110
6237,BW-11110
6238,BW-11200
6239,BW-1200
6240,CA-11965
6241,CA-12055
6242,CA-12265
6243,CA-12310
6244,CA-12775
6245,CA-1965
6246,CA-2055
6247,CA-2265
6248,CA-2310
6249,CA-2775
6250,CB-12025
6251,CB-12415
6252,CB-12535
6253,CB-2025
6254,CB-2415
6255,CB-2535
6256,CC-12100
6257,CC-12145
6258,CC-12220
6259,CC-12370
6260,CC-12430
6261,CC-12475
6262,CC-12550
6263,CC-12610
6264,CC-12670
6265,CC-12685
6266,CC-2100
6267,CC-2145
6268,CC-2220
6269,CC-2370
6270,CC-2430
6271,CC-2475
6272,CC-2550
6273,CC-2610
6274,CC-2670
6275,CC-2685
6276,CD-11920
6277,CD-11980
6278,CD-12280
6279,CD-12790
6280,CD-1920
6281,CD-1980
6282,CD-2280
6283,CD-2790
6284,CG-12040
6285,CG-12520
6286,CG-2040
6287,CG-2520
6288,CH-12070
6289,CH-2070
6290,CJ-11875
6291,CJ-12010
6292,CJ-1875
6293,CJ-2010
6294,CK-12205
6295,CK-12325
6296,CK-12595
6297,CK-12760
6298,CK-2205
6299,CK-2325
6300,CK-2595
6301,CK-2760
6302,CL-11890
6303,CL-12565
6304,CL-12700
6305,CL-1890
6306,CL-2565
6307,CL-2700
6308,CM-11815
6309,CM-11830
6310,CM-11935
6311,CM-12115
6312,CM-12160
6313,CM-12190
6314,CM-12235
6315,CM-12385
6316,CM-12445
6317,CM-12655
6318,CM-12715
6319,CM-1815
6320,CM-1830
6321,CM-1935
6322,CM-2115
6323,CM-2160
6324,CM-2190
6325,CM-2235
6326,CM-2385
6327,CM-2445
6328,CM-2655
